nsn,candidate_mpn,manufacturer,digikey_pn,attribute_name,raw_name,raw_value,value_num,value_min,value_max,uom,value_text,parse_status,source
5905-00-493-1204,CRT0603-BY-1003ELF,Bourns Inc.,CRT0603-BY-1003ELFTR-ND,package_case,Package / Case,0603 (1608 Metric),,,,,0603,text,digikey
5905-00-493-1204,CRT0603-BY-1003ELF,Bourns Inc.,CRT0603-BY-1003ELFTR-ND,package_case,Supplier Device Package,0603,,,,,0603,text,digikey
5905-00-493-1204,CRT0603-BY-1003ELF,Bourns Inc.,CRT0603-BY-1003ELFTR-ND,size_dimension,Size / Dimension,"0.061"" L x 0.031"" W (1.55mm x 0.80mm)",,,,,0061LX0031W155MMX080MM,text,digikey
5905-00-493-1204,CRT0603-BY-1003ELF,Bourns Inc.,CRT0603-BY-1003ELFTR-ND,height_seated_max,Height - Seated (Max),"0.024"" (0.60mm)",,,,,0024060MM,text,digikey
5905-00-493-1204,CRT0603-BY-1003ELF,Bourns Inc.,CRT0603-BY-1003ELFTR-ND,number_of_terminations,Number of Terminations,2,2.0,,,,2,number,digikey
5905-00-493-1204,CRT0603-BY-1003ELF,Bourns Inc.,CRT0603-BY-1003ELFTR-ND,failure_rate,Failure Rate,-,,,,,,empty,digikey
5905-00-493-1204,CRT0603-BY-10R0ELF,Bourns Inc.,CRT0603-BY-10R0ELFTR-ND,resistance,Resistance,10 Ohms,10.0,,,ohm,10 Ohms,number,digikey
5905-00-493-1204,CRT0603-BY-10R0ELF,Bourns Inc.,CRT0603-BY-10R0ELFTR-ND,resistance_tolerance,Tolerance,±0.1%,0.1,,,%,±0.1%,number,digikey
5905-00-493-1204,CRT0603-BY-10R0ELF,Bourns Inc.,CRT0603-BY-10R0ELFTR-ND,power_rating,Power (Watts),"0.1W, 1/10W",0.1,,,W,"0.1W, 1/10W",number,digikey
5905-00-493-1204,CRT0603-BY-10R0ELF,Bourns Inc.,CRT0603-BY-10R0ELFTR-ND,composition,Composition,Thin Film,,,,,THINFILM,text,digikey
5905-00-493-1204,CRT0603-BY-10R0ELF,Bourns Inc.,CRT0603-BY-10R0ELFTR-ND,features,Features,Current Sense,,,,,CURRENTSENSE,text,digikey
5905-00-493-1204,CRT0603-BY-10R0ELF,Bourns Inc.,CRT0603-BY-10R0ELFTR-ND,temperature_coefficient,Temperature Coefficient,±25ppm/°C,25.0,,,ppm/degC,±25ppm/°C,number,digikey
5905-00-493-1204,CRT0603-BY-10R0ELF,Bourns Inc.,CRT0603-BY-10R0ELFTR-ND,operating_temp_min,Operating Temperature,-55°C ~ 155°C,-55.0,,,degC,-55°C ~ 155°C,number,digikey
5905-00-493-1204,CRT0603-BY-10R0ELF,Bourns Inc.,CRT0603-BY-10R0ELFTR-ND,operating_temp_max,Operating Temperature,-55°C ~ 155°C,155.0,,,degC,-55°C ~ 155°C,number,digikey
5905-00-493-1204,CRT0603-BY-10R0ELF,Bourns Inc.,CRT0603-BY-10R0ELFTR-ND,package_case,Package / Case,0603 (1608 Metric),,,,,0603,text,digikey
5905-00-493-1204,CRT0603-BY-10R0ELF,Bourns Inc.,CRT0603-BY-10R0ELFTR-ND,package_case,Supplier Device Package,0603,,,,,0603,text,digikey
5905-00-493-1204,CRT0603-BY-10R0ELF,Bourns Inc.,CRT0603-BY-10R0ELFTR-ND,size_dimension,Size / Dimension,"0.061"" L x 0.031"" W (1.55mm x 0.80mm)",,,,,0061LX0031W155MMX080MM,text,digikey
5905-00-493-1204,CRT0603-BY-10R0ELF,Bourns Inc.,CRT0603-BY-10R0ELFTR-ND,height_seated_max,Height - Seated (Max),"0.024"" (0.60mm)",,,,,0024060MM,text,digikey
